"1 _ 4",,,,,"1 _ 5",,,,,"1 _ 6",,,,,"1 _ 7",,,,
"时间","载荷","行程","引伸计1","宽度规","时间","载荷","行程","引伸计1","宽度规","时间","载荷","行程","引伸计1","宽度规","时间","载荷","行程","引伸计1","宽度规"
"sec","N","mm","mm","mm","sec","N","mm","mm","mm","sec","N","mm","mm","mm","sec","N","mm","mm","mm"
"12.04","763.5832","1.003325","0.613","0.036","12.04","789.8331","1.003369","0.5790001","0.042","161.64","1217.349","2.006325","-.----","-0.223","87.73","1226.115","2.006912","-.----","-0.301"
"12.05","764.1872","1.004144","0.613","0.036","12.05","790.3973","1.004212","0.5790001","0.042","161.65","1218.319","2.008013","-.----","-0.223","87.74","1227.085","2.008538","-.----","-0.301"
"12.06","764.7912","1.004981","0.614","0.036","12.06","790.9854","1.00505","0.5790001","0.042","161.66","1219.265","2.0097","-.----","-0.223","87.75","1227.999","2.010219","-.----","-0.301"
"12.07","765.3236","1.005831","0.614","0.036","12.07","791.5497","1.005888","0.58","0.042","161.67","1220.242","2.011344","-.----","-0.223","87.76","1228.873","2.011906","-.----","-0.301"
"12.08","765.7289","1.006662","0.615","0.036","12.08","792.106","1.006719","0.581","0.042","161.68","1221.283","2.012969","-.----","-0.223","87.77","1229.723","2.0136","-.----","-0.301"
"12.09","766.1183","1.007506","0.615","0.036","12.09","792.6623","1.007525","0.581","0.042","161.69","1222.301","2.014644","-.----","-0.223","87.78","1230.637","2.01525","-.----","-0.301"
"12.1","766.5952","1.00835","0.6160001","0.036","12.1","793.2027","1.00835","0.582","0.042","161.7","1223.222","2.016344","-.----","-0.223","87.79","1231.615","2.016875","-.----","-0.301"
"12.11","767.1754","1.009194","0.617","0.036","12.11","793.759","1.009194","0.582","0.042","161.71","1224.113","2.018038","-.----","-0.223","87.8","1232.624","2.018544","-.----","-0.301"
"12.12","767.7873","1.010031","0.617","0.036","12.12","794.3471","1.010044","0.583","0.043","161.72","1225.066","2.019681","-.----","-0.223","87.81","1233.586","2.02025","-.----","-0.301"
"12.13","768.4628","1.01085","0.618","0.036","12.13","794.9352","1.010875","0.583","0.043","161.73","1226.068","2.021306","-.----","-0.223","87.82","1234.468","2.021944","-.----","-0.301"
"12.14","769.1383","1.011662","0.618","0.036","12.14","795.4756","1.011712","0.5840001","0.043","161.74","1227.077","2.022987","-.----","-0.223","87.83","1235.342","2.023587","-.----","-0.301"
"12.15","769.7503","1.012481","0.619","0.036","12.15","795.9843","1.01255","0.5840001","0.043","161.75","1228.038","2.024675","-.----","-0.223","87.84","1236.264","2.025213","-.----","-0.301"
"12.16","770.3225","1.013325","0.619","0.036","12.16","796.5088","1.0134","0.585","0.043","161.76","1229.024","2.026369","-.----","-0.223","87.85","1237.138","2.026894","-.----","-0.301"
"12.17","770.855","1.014169","0.62","0.036","12.17","797.0492","1.014238","0.585","0.043","161.77","1230.065","2.028025","-.----","-0.223","87.86","1237.957","2.028575","-.----","-0.301"
"12.18","771.3636","1.015006","0.62","0.036","12.18","797.6214","1.01505","0.586","0.043","161.78","1231.058","2.029644","-.----","-0.223","87.87","1238.799","2.030262","-.----","-0.301"
"12.19","771.8643","1.015844","0.6210001","0.036","12.19","798.2095","1.015862","0.586","0.043","161.79","1231.988","2.031312","-.----","-0.223","87.88","1239.697","2.031913","-.----","-0.301"
"12.2","772.3888","1.016675","0.6210001","0.036","12.2","798.8373","1.016681","0.587","0.043","161.8","1232.854","2.033012","-.----","-0.223","87.89","1240.651","2.033531","-.----","-0.301"
"12.21","772.9133","1.017519","0.622","0.036","12.21","799.4572","1.017525","0.587","0.043","161.81","1233.753","2.034706","-.----","-0.223","87.9","1241.589","2.035206","-.----","-0.301"
"12.22","773.4935","1.01835","0.622","0.036","12.22","800.0374","1.018369","0.588","0.043","161.82","1234.698","2.036356","-.----","-0.223","87.91","1242.518","2.0369","-.----","-0.301"
"12.23","774.0974","1.019175","0.623","0.036","12.23","800.546","1.0192","0.588","0.043","161.83","1235.692","2.037987","-.----","-0.223","87.92","1243.456","2.0386","-.----","-0.301"
"12.24","774.7253","1.019987","0.623","0.037","12.24","801.0228","1.020038","0.589","0.043","161.84","1236.733","2.039669","-.----","-0.223","87.93","1244.402","2.040256","-.----","-0.301"
"12.25","775.3134","1.020813","0.624","0.037","12.25","801.4997","1.020881","0.589","0.043","161.85","1237.766","2.041356","-.----","-0.223","87.94","1245.324","2.041888","-.----","-0.301"
"12.26","775.8538","1.021662","0.624","0.037","12.26","802.0242","1.021725","0.59","0.043","161.86","1238.823","2.043031","-.----","-0.223","87.95","1246.238","2.043569","-.----","-0.301"
"12.27","776.3704","1.022506","0.625","0.037","12.27","802.5884","1.022563","0.59","0.043","161.87","1239.88","2.044675","-.----","-0.223","87.96","1247.104","2.04525","-.----","-0.301"
"12.28","776.879","1.023337","0.626","0.037","12.28","803.1686","1.023381","0.591","0.043","161.88","1240.865","2.0463","-.----","-0.223","87.97","1247.986","2.046937","-.----","-0.301"
"12.29","777.3876","1.024175","0.626","0.037","12.29","803.709","1.0242","0.591","0.043","161.89","1241.795","2.047975","-.----","-0.223","87.98","1248.908","2.048588","-.----","-0.301"
"12.3","777.8565","1.025006","0.627","0.037","12.3","804.2574","1.025012","0.592","0.043","161.9","1242.677","2.049675","-.----","-0.223","87.99","1249.83","2.050212","-.----","-0.301"
"12.31","778.3095","1.02585","0.627","0.037","12.31","804.8296","1.025862","0.592","0.043","161.91","1243.568","2.051363","-.----","-0.223","88","1250.68","2.051888","-.----","-0.301"
"12.32","778.826","1.026681","0.628","0.037","12.32","805.4097","1.026706","0.5930001","0.043","161.92","1244.497","2.053012","-.----","-0.223","88.01","1251.491","2.053575","-.----","-0.301"
"12.33","779.3903","1.027506","0.628","0.037","12.33","805.9025","1.02755","0.5930001","0.043","161.93","1245.443","2.054644","-.----","-0.223","88.02","1252.317","2.055263","-.----","-0.301"
"12.34","780.0023","1.028319","0.629","0.037","12.34","806.3952","1.028381","0.594","0.043","161.94","1246.405","2.056331","-.----","-0.223","88.03","1253.192","2.056912","-.----","-0.301"
"12.35","780.5745","1.029144","0.629","0.037","12.35","806.9277","1.029219","0.594","0.043","161.95","1247.358","2.058019","-.----","-0.223","88.04","1254.074","2.058537","-.----","-0.301"
"12.36","781.1387","1.029987","0.6300001","0.037","12.36","807.5158","1.030069","0.595","0.043","161.96","1248.296","2.059706","-.----","-0.223","88.05","1254.956","2.060219","-.----","-0.301"
"12.37","781.7268","1.030837","0.6300001","0.037","12.37","808.1277","1.0309","0.595","0.043","161.97","1249.178","2.061344","-.----","-0.223","88.06","1255.83","2.061919","-.----","-0.301"
"12.38","782.3626","1.031669","0.631","0.037","12.38","808.7158","1.031725","0.596","0.043","161.98","1250.021","2.062963","-.----","-0.223","88.07","1256.744","2.063612","-.----","-0.301"
"12.39","783.0063","1.0325","0.631","0.037","12.39","809.2483","1.032531","0.597","0.043","161.99","1250.887","2.064631","-.----","-0.223","88.08","1257.666","2.065263","-.----","-0.301"
"12.4","783.5706","1.033337","0.632","0.037","12.4","809.7172","1.03335","0.597","0.044","162","1251.817","2.066331","-.----","-0.223","88.09","1258.524","2.066875","-.----","-0.301"
"12.41","784.1269","1.034187","0.632","0.037","12.41","810.2496","1.0342","0.598","0.044","162.01","1252.77","2.068019","-.----","-0.223","88.1","1259.319","2.06855","-.----","-0.301"
"12.42","784.6912","1.035019","0.633","0.037","12.42","810.8616","1.035044","0.598","0.044","162.02","1253.74","2.069675","-.----","-0.223","88.11","1260.138","2.070244","-.----","-0.301"
"12.43","785.2236","1.03585","0.633","0.037","12.43","811.4735","1.035875","0.598","0.044","162.03","1254.678","2.0713","-.----","-0.223","88.12","1260.996","2.071938","-.----","-0.301"
"12.44","785.6925","1.036662","0.634","0.037","12.44","812.0537","1.036713","0.599","0.044","162.04","1255.592","2.072975","-.----","-0.223","88.13","1261.862","2.073581","-.----","-0.301"
"12.45","786.1932","1.037481","0.6350001","0.037","12.45","812.5941","1.037544","0.599","0.044","162.05","1256.482","2.074675","-.----","-0.223","88.14","1262.72","2.075212","-.----","-0.301"
"12.46","786.7734","1.038319","0.6350001","0.037","12.46","813.1266","1.038387","0.6","0.044","162.06","1257.42","2.076375","-.----","-0.223","88.15","1263.523","2.076887","-.----","-0.301"
"12.47","787.3615","1.039169","0.636","0.037","12.47","813.6511","1.039219","0.601","0.044","162.07","1258.397","2.078031","-.----","-0.223","88.16","1264.318","2.078575","-.----","-0.301"
"12.48","787.9019","1.04","0.636","0.037","12.48","814.1835","1.040038","0.601","0.044","162.08","1259.335","2.079663","-.----","-0.223","88.17","1265.168","2.080262","-.----","-0.301"
"12.49","788.3708","1.040844","0.637","0.037","12.49","814.7717","1.040856","0.6020001","0.044","162.09","1260.209","2.081331","-.----","-0.223","88.18","1266.074","2.081913","-.----","-0.301"
"12.5","788.8317","1.041681","0.637","0.037","12.5","815.3995","1.041681","0.6020001","0.044","162.1","1261.067","2.083031","-.----","-0.223","88.19","1267.012","2.08355","-.----","-0.301"
"12.51","789.3483","1.042531","0.638","0.037","12.51","816.0035","1.042525","0.603","0.044","162.11","1261.973","2.084719","-.----","-0.223","88.2","1267.942","2.085219","-.----","-0.301"
"12.52","789.8887","1.043362","0.638","0.037","12.52","816.5439","1.043375","0.603","0.044","162.12","1262.935","2.086356","-.----","-0.223","88.21","1268.816","2.086912","-.----","-0.301"
"12.53","790.4529","1.044187","0.6390001","0.037","12.53","817.0605","1.044206","0.604","0.044","162.13","1263.897","2.087987","-.----","-0.223","88.22","1269.674","2.0886","-.----","-0.301"
"12.54","791.0569","1.044994","0.6390001","0.038","12.54","817.5691","1.045038","0.604","0.044","162.14","1264.834","2.089669","-.----","-0.223","88.23","1270.548","2.090256","-.----","-0.301"
"12.55","791.645","1.045812","0.64","0.038","12.55","818.0857","1.045869","0.605","0.044","162.15","1265.724","2.091356","-.----","-0.223","88.24","1271.391","2.091887","-.----","-0.301"
"12.56","792.1934","1.046656","0.64","0.038","12.56","818.6261","1.046713","0.605","0.044","162.16","1266.607","2.093031","-.----","-0.223","88.25","1272.233","2.093562","-.----","-0.301"
"12.57","792.6941","1.047506","0.641","0.038","12.57","819.1347","1.047544","0.606","0.044","162.17","1267.473","2.094675","-.----","-0.223","88.26","1273.068","2.09525","-.----","-0.301"
"12.58","793.2107","1.048331","0.642","0.038","12.58","819.6274","1.048369","0.606","0.044","162.18","1268.299","2.0963","-.----","-0.223","88.27","1273.886","2.096937","-.----","-0.301"
"12.59","793.7829","1.049169","0.642","0.038","12.59","820.1678","1.049187","0.6070001","0.044","162.19","1269.094","2.097975","-.----","-0.223","88.28","1274.665","2.098588","-.----","-0.301"
"12.6","794.3233","1.050012","0.643","0.038","12.6","820.756","1.050006","0.6070001","0.044","162.2","1269.905","2.099675","-.----","-0.223","88.29","1275.436","2.100212","-.----","-0.301"
"12.61","794.7922","1.050856","0.643","0.038","12.61","821.3838","1.05085","0.608","0.044","162.21","1270.803","2.101381","-.----","-0.223","88.3","1276.223","2.101881","-.----","-0.301"
"12.62","795.2292","1.051687","0.6440001","0.038","12.62","822.0037","1.051694","0.608","0.044","162.22","1271.764","2.103025","-.----","-0.223","88.31","1277.065","2.103581","-.----","-0.301"
"12.63","795.722","1.052506","0.6440001","0.038","12.63","822.5759","1.052531","0.609","0.044","162.23","1272.742","2.104656","-.----","-0.223","88.32","1277.955","2.105275","-.----","-0.301"
"12.64","796.3657","1.053319","0.645","0.038","12.64","823.1163","1.053369","0.609","0.044","162.24","1273.704","2.106331","-.----","-0.223","88.33","1278.798","2.106912","-.----","-0.301"
"12.65","797.0492","1.054137","0.645","0.038","12.65","823.6487","1.054212","0.61","0.044","162.25","1274.618","2.108019","-.----","-0.223","88.34","1279.529","2.108537","-.----","-0.301"
"12.66","797.6929","1.054975","0.646","0.038","12.66","824.1892","1.055063","0.61","0.044","162.26","1275.516","2.109706","-.----","-0.223","88.35","1280.197","2.110213","-.----","-0.301"
"12.67","798.2572","1.055825","0.646","0.038","12.67","824.7296","1.0559","0.611","0.044","162.27","1276.358","2.111356","-.----","-0.223","88.36","1280.928","2.111906","-.----","-0.301"
"12.68","798.7897","1.056662","0.647","0.038","12.68","825.2939","1.056719","0.611","0.045","162.28","1277.184","2.112975","-.----","-0.223","88.37","1281.77","2.1136","-.----","-0.301"
"12.69","799.2824","1.0575","0.647","0.038","12.69","825.8502","1.057525","0.612","0.045","162.29","1277.987","2.114644","-.----","-0.223","88.38","1282.66","2.11525","-.----","-0.301"
"12.7","799.7115","1.058344","0.648","0.038","12.7","826.3906","1.058344","0.612","0.045","162.3","1278.798","2.116344","-.----","-0.223","88.39","1283.55","2.116875","-.----","-0.301"
"12.71","800.1486","1.059188","0.648","0.038","12.71","826.9548","1.059188","0.613","0.045","162.31","1279.6","2.118031","-.----","-0.223","88.4","1284.417","2.118544","-.----","-0.301"
"12.72","800.6811","1.060025","0.649","0.038","12.72","827.5827","1.060037","0.613","0.045","162.32","1280.435","2.119681","-.----","-0.223","88.41","1285.283","2.120237","-.----","-0.301"
"12.73","801.3169","1.06085","0.65","0.038","12.73","828.1628","1.060869","0.614","0.045","162.33","1281.301","2.121312","-.----","-0.223","88.42","1286.125","2.121931","-.----","-0.301"
"12.74","801.9447","1.061662","0.65","0.038","12.74","828.6078","1.0617","0.614","0.045","162.34","1282.191","2.122994","-.----","-0.223","88.43","1286.944","2.123581","-.----","-0.301"
"12.75","802.4852","1.062481","0.651","0.038","12.75","829.037","1.062544","0.615","0.045","162.35","1283.129","2.124687","-.----","-0.223","88.44","1287.731","2.125219","-.----","-0.301"
"12.76","802.9779","1.063331","0.651","0.038","12.76","829.5615","1.063388","0.615","0.045","162.36","1284.043","2.126375","-.----","-0.223","88.45","1288.509","2.1269","-.----","-0.301"
"12.77","803.5104","1.064181","0.652","0.038","12.77","830.1099","1.064219","0.6160001","0.045","162.37","1284.901","2.128019","-.----","-0.223","88.46","1289.312","2.128581","-.----","-0.301"
"12.78","804.0746","1.065006","0.652","0.038","12.78","830.6662","1.065044","0.6160001","0.045","162.38","1285.68","2.129644","-.----","-0.223","88.47","1290.099","2.130262","-.----","-0.301"
"12.79","804.6548","1.065838","0.6530001","0.038","12.79","831.2146","1.065856","0.617","0.045","162.39","1286.467","2.131319","-.----","-0.223","88.48","1290.854","2.131912","-.----","-0.301"
"12.8","805.2349","1.066675","0.6530001","0.038","12.8","831.7868","1.066669","0.617","0.045","162.4","1287.309","2.133013","-.----","-0.223","88.49","1291.649","2.133538","-.----","-0.301"
"12.81","805.7833","1.067519","0.654","0.038","12.81","832.3351","1.067513","0.618","0.045","162.41","1288.199","2.1347","-.----","-0.223","88.5","1292.467","2.135212","-.----","-0.301"
"12.82","806.276","1.06835","0.654","0.038","12.82","832.8199","1.068356","0.619","0.045","162.42","1289.074","2.136344","-.----","-0.223","88.51","1293.254","2.136912","-.----","-0.301"
"12.83","806.729","1.069175","0.655","0.038","12.83","833.2888","1.0692","0.619","0.045","162.43","1289.916","2.137975","-.----","-0.223","88.52","1293.961","2.138613","-.----","-0.301"
"12.84","807.2376","1.069987","0.655","0.038","12.84","833.7736","1.070037","0.619","0.045","162.44","1290.687","2.139663","-.----","-0.223","88.53","1294.684","2.140262","-.----","-0.301"
"12.85","807.8416","1.070812","0.656","0.039","12.85","834.314","1.070875","0.62","0.045","162.45","1291.474","2.14135","-.----","-0.223","88.54","1295.479","2.141887","-.----","-0.301"
"12.86","808.4695","1.071656","0.656","0.039","12.86","834.9021","1.071719","0.6210001","0.045","162.46","1292.276","2.143038","-.----","-0.223","88.55","1296.258","2.143569","-.----","-0.301"
"12.87","809.0178","1.0725","0.657","0.039","12.87","835.53","1.072556","0.6210001","0.045","162.47","1293.119","2.144681","-.----","-0.223","88.56","1297.005","2.145262","-.----","-0.301"
"12.88","809.4629","1.073331","0.657","0.039","12.88","836.1101","1.073381","0.622","0.045","162.48","1293.985","2.146306","-.----","-0.223","88.57","1297.752","2.146956","-.----","-0.301"
"12.89","809.9238","1.074169","0.6580001","0.039","12.89","836.6267","1.074194","0.622","0.045","162.49","1294.875","2.147975","-.----","-0.223","88.58","1298.547","2.1486","-.----","-0.301"
"12.9","810.4404","1.075006","0.659","0.039","12.9","837.0956","1.075019","0.623","0.045","162.5","1295.757","2.149675","-.----","-0.223","88.59","1299.381","2.150219","-.----","-0.301"
"12.91","810.9967","1.075844","0.659","0.039","12.91","837.6042","1.075869","0.623","0.045","162.51","1296.576","2.151375","-.----","-0.223","88.6","1300.16","2.151887","-.----","-0.301"
"12.92","811.5371","1.076681","0.66","0.039","12.92","838.1526","1.076712","0.624","0.045","162.52","1297.331","2.153025","-.----","-0.223","88.61","1300.883","2.153581","-.----","-0.301"
"12.93","812.0298","1.077513","0.66","0.039","12.93","838.6851","1.077537","0.624","0.045","162.53","1298.094","2.15465","-.----","-0.223","88.62","1301.606","2.155275","-.----","-0.301"
"12.94","812.4908","1.078325","0.661","0.039","12.94","839.2255","1.078375","0.625","0.045","162.54","1298.873","2.156325","-.----","-0.223","88.63","1302.361","2.156925","-.----","-0.301"
"12.95","812.9597","1.079144","0.661","0.039","12.95","839.7897","1.079206","0.625","0.045","162.55","1299.707","2.158012","-.----","-0.223","88.64","1303.132","2.158556","-.----","-0.301"
"12.96","813.5319","1.079988","0.6620001","0.039","12.96","840.4175","1.08005","0.626","0.045","162.56","1300.581","2.1597","-.----","-0.223","88.65","1303.895","2.160231","-.----","-0.301"
"12.97","814.1597","1.080837","0.6620001","0.039","12.97","841.0136","1.080887","0.626","0.046","162.57","1301.471","2.16135","-.----","-0.223","88.66","1304.626","2.161925","-.----","-0.301"
"12.98","814.7875","1.081669","0.663","0.039","12.98","841.5381","1.081706","0.627","0.046","162.58","1302.266","2.162981","-.----","-0.223","88.67","1305.358","2.163625","-.----","-0.301"
"12.99","815.3518","1.082506","0.663","0.039","12.99","841.9673","1.082519","0.627","0.046","162.59","1302.989","2.16465","-.----","-0.223","88.68","1306.073","2.165275","-.----","-0.301"
"13","815.8843","1.083344","0.664","0.039","13","842.4044","1.08335","0.628","0.046","162.6","1303.72","2.166344","-.----","-0.223","88.69","1306.78","2.166906","-.----","-0.301"
"13.01","816.4247","1.084194","0.664","0.039","13.01","842.8732","1.084194","0.628","0.046","162.61","1304.539","2.168025","-.----","-0.223","88.7","1307.535","2.168575","-.----","-0.301"
"13.02","816.9492","1.085037","0.665","0.039","13.02","843.3898","1.085037","0.629","0.046","162.62","1305.445","2.169675","-.----","-0.223","88.71","1308.33","2.170269","-.----","-0.301"
"13.03","817.5055","1.085856","0.665","0.039","13.03","843.9223","1.085869","0.629","0.046","162.63","1306.303","2.1713","-.----","-0.223","88.72","1309.148","2.17195","-.----","-0.301"
"13.04","818.0618","1.086663","0.666","0.039","13.04","844.4706","1.086706","0.6300001","0.046","162.64","1307.05","2.172981","-.----","-0.223","88.73","1309.919","2.1736","-.----","-0.301"
"13.05","818.6022","1.087475","0.6670001","0.039","13.05","845.0428","1.087544","0.6300001","0.046","162.65","1307.75","2.174669","-.----","-0.223","88.74","1310.643","2.175225","-.----","-0.301"
"13.06","819.1108","1.088319","0.6670001","0.039","13.06","845.631","1.088381","0.631","0.046","162.66","1308.521","2.176363","-.----","-0.223","88.75","1311.366","2.176894","-.----","-0.301"
"13.07","819.6036","1.089162","0.668","0.039","13.07","846.1714","1.089212","0.631","0.046","162.67","1309.355","2.178006","-.----","-0.223","88.76","1312.137","2.178575","-.----","-0.301"
"13.08","820.136","1.089994","0.668","0.039","13.08","846.6403","1.090044","0.632","0.046","162.68","1310.213","2.179631","-.----","-0.223","88.77","1312.947","2.180262","-.----","-0.301"
"13.09","820.6526","1.090837","0.669","0.039","13.09","847.0933","1.090856","0.632","0.046","162.69","1311.064","2.181313","-.----","-0.223","88.78","1313.734","2.181912","-.----","-0.301"
"13.1","821.1533","1.091681","0.669","0.039","13.1","847.6019","1.091681","0.633","0.046","162.7","1311.882","2.183012","-.----","-0.223","88.79","1314.433","2.183537","-.----","-0.301"
"13.11","821.6619","1.092525","0.67","0.039","13.11","848.1661","1.092525","0.633","0.046","162.71","1312.629","2.1847","-.----","-0.223","88.8","1315.109","2.185206","-.----","-0.301"
"13.12","822.258","1.093356","0.67","0.039","13.12","848.7463","1.093375","0.634","0.046","162.72","1313.353","2.186344","-.----","-0.223","88.81","1315.864","2.186919","-.----","-0.301"
"13.13","822.8858","1.094181","0.671","0.039","13.13","849.3026","1.094206","0.6350001","0.046","162.73","1314.084","2.187975","-.----","-0.223","88.82","1316.675","2.188619","-.----","-0.301"
"13.14","823.4978","1.094988","0.671","0.039","13.14","849.8271","1.095044","0.6350001","0.046","162.74","1314.847","2.189656","-.----","-0.223","88.83","1317.453","2.190263","-.----","-0.301"
"13.15","824.0302","1.095812","0.6720001","0.04","13.15","850.3914","1.095875","0.636","0.046","162.75","1315.618","2.191337","-.----","-0.223","88.84","1318.216","2.191887","-.----","-0.301"
"13.16","824.5389","1.09665","0.673","0.04","13.16","850.9874","1.096731","0.636","0.046","162.76","1316.388","2.193025","-.----","-0.223","88.85","1318.971","2.193563","-.----","-0.301"
"13.17","825.0793","1.0975","0.673","0.04","13.17","851.5517","1.097556","0.637","0.046","162.77","1317.231","2.194675","-.----","-0.223","88.86","1319.703","2.195256","-.----","-0.301"
"13.18","825.6594","1.098338","0.674","0.04","13.18","852.108","1.098375","0.637","0.046","162.78","1318.121","2.196294","-.----","-0.223","88.87","1320.402","2.196938","-.----","-0.301"
"13.19","826.1998","1.099175","0.674","0.04","13.19","852.6246","1.099187","0.638","0.046","162.79","1318.971","2.197963","-.----","-0.223","88.88","1321.125","2.198581","-.----","-0.301"
"13.2","826.6926","1.100012","0.675","0.04","13.2","853.1173","1.1","0.638","0.046","162.8","1319.742","2.199662","-.----","-0.223","88.89","1321.872","2.200206","-.----","-0.301"
"13.21","827.1853","1.100856","0.675","0.04","13.21","853.6021","1.100844","0.6390001","0.046","162.81","1320.473","2.201362","-.----","-0.223","88.9","1322.611","2.201875","-.----","-0.301"
"13.22","827.694","1.101687","0.6760001","0.04","13.22","854.1187","1.101687","0.6390001","0.046","162.82","1321.22","2.203019","-.----","-0.223","88.91","1323.279","2.203575","-.----","-0.301"
"13.23","828.2105","1.102512","0.6760001","0.04","13.23","854.6829","1.102525","0.64","0.046","162.83","1321.944","2.20465","-.----","-0.223","88.92","1323.93","2.205269","-.----","-0.301"
"13.24","828.7271","1.103331","0.677","0.04","13.24","855.2472","1.103362","0.64","0.046","162.84","1322.643","2.206331","-.----","-0.223","88.93","1324.606","2.206913","-.----","-0.301"
"13.25","829.2596","1.10415","0.677","0.04","13.25","855.7399","1.104213","0.641","0.047","162.85","1323.358","2.208019","-.----","-0.223","88.94","1325.353","2.20855","-.----","-0.301"
"13.26","829.8079","1.104988","0.678","0.04","13.26","856.1691","1.105056","0.641","0.047","162.86","1324.097","2.2097","-.----","-0.223","88.95","1326.132","2.210225","-.----","-0.301"
"13.27","830.3881","1.105844","0.678","0.04","13.27","856.6379","1.105894","0.642","0.047","162.87","1324.86","2.21135","-.----","-0.223","88.96","1326.895","2.211912","-.----","-0.301"
"13.28","830.9603","1.106675","0.679","0.04","13.28","857.1704","1.106719","0.642","0.047","162.88","1325.639","2.212975","-.----","-0.223","88.97","1327.586","2.2136","-.----","-0.301"
"13.29","831.5404","1.107506","0.679","0.04","13.29","857.7744","1.107525","0.643","0.047","162.89","1326.386","2.214656","-.----","-0.223","88.98","1328.278","2.215256","-.----","-0.301"
"13.3","832.0967","1.108344","0.68","0.04","13.3","858.3864","1.108344","0.643","0.047","162.9","1327.133","2.216344","-.----","-0.223","88.99","1328.985","2.216881","-.----","-0.301"
"13.31","832.5656","1.109187","0.6810001","0.04","13.31","858.9188","1.109187","0.6440001","0.047","162.91","1327.904","2.218025","-.----","-0.223","89","1329.748","2.21855","-.----","-0.301"
"13.32","833.0027","1.110025","0.6810001","0.04","13.32","859.3718","1.110031","0.6440001","0.047","162.92","1328.707","2.219669","-.----","-0.223","89.01","1330.527","2.22025","-.----","-0.301"
"13.33","833.4716","1.110844","0.682","0.04","13.33","859.8328","1.110869","0.645","0.047","162.93","1329.517","2.2213","-.----","-0.223","89.02","1331.345","2.221944","-.----","-0.301"
"13.34","833.9962","1.111663","0.682","0.04","13.34","860.3414","1.111706","0.645","0.047","162.94","1330.296","2.222987","-.----","-0.223","89.03","1332.1","2.223588","-.----","-0.301"
"13.35","834.5445","1.112487","0.683","0.04","13.35","860.858","1.112544","0.646","0.047","162.95","1331.035","2.224681","-.----","-0.223","89.04","1332.792","2.225219","-.----","-0.301"
"13.36","835.0849","1.113325","0.683","0.04","13.36","861.4142","1.113387","0.646","0.047","162.96","1331.703","2.226375","-.----","-0.223","89.05","1333.388","2.226894","-.----","-0.301"
"13.37","835.6094","1.114175","0.684","0.04","13.37","861.9865","1.114219","0.647","0.047","162.97","1332.37","2.228019","-.----","-0.223","89.06","1333.984","2.228594","-.----","-0.301"
"13.38","836.134","1.115006","0.684","0.04","13.38","862.5428","1.115044","0.648","0.047","162.98","1333.07","2.229637","-.----","-0.223","89.07","1334.659","2.230281","-.----","-0.301"
"13.39","836.6108","1.115837","0.6850001","0.04","13.39","863.0355","1.115856","0.648","0.047","162.99","1333.841","2.231306","-.----","-0.223","89.08","1335.39","2.231925","-.----","-0.301"
"13.4","837.0956","1.116675","0.6850001","0.04","13.4","863.5123","1.116675","0.649","0.047","163","1334.667","2.233","-.----","-0.223","89.09","1336.098","2.233537","-.----","-0.301"
"13.41","837.5883","1.117519","0.686","0.04","13.41","864.0448","1.117531","0.649","0.047","163.01","1335.478","2.234694","-.----","-0.223","89.1","1336.773","2.235212","-.----","-0.301"
"13.42","838.1208","1.11835","0.686","0.04","13.42","864.6488","1.118375","0.65","0.047","163.02","1336.209","2.236344","-.----","-0.223","89.11","1337.473","2.236906","-.----","-0.301"
"13.43","838.6453","1.119181","0.687","0.04","13.43","865.2369","1.119206","0.65","0.047","163.03","1336.908","2.237975","-.----","-0.223","89.12","1338.204","2.238606","-.----","-0.301"
"13.44","839.146","1.119987","0.687","0.041","13.44","865.7217","1.120044","0.651","0.047","163.04","1337.64","2.239644","-.----","-0.223","89.13","1338.903","2.24025","-.----","-0.301"
"13.45","839.6228","1.120806","0.688","0.041","13.45","866.1429","1.120875","0.651","0.047","163.05","1338.395","2.241338","-.----","-0.223","89.14","1339.587","2.241881","-.----","-0.301"
"13.46","840.1235","1.12165","0.689","0.041","13.46","866.5959","1.121719","0.652","0.047","163.06","1339.141","2.243031","-.----","-0.223","89.15","1340.326","2.243556","-.----","-0.301"
"13.47","840.6559","1.1225","0.689","0.041","13.47","867.1046","1.12255","0.652","0.047","163.07","1339.841","2.244681","-.----","-0.223","89.16","1341.097","2.24525","-.----","-0.301"
"13.48","841.2123","1.123331","0.6900001","0.041","13.48","867.6211","1.123375","0.6530001","0.047","163.08","1340.493","2.246306","-.----","-0.223","89.17","1341.852","2.246938","-.----","-0.301"
"13.49","841.7368","1.124169","0.6900001","0.041","13.49","868.1138","1.124187","0.6530001","0.047","163.09","1341.128","2.247981","-.----","-0.223","89.18","1342.551","2.248587","-.----","-0.301"
"13.5","842.2296","1.125013","0.691","0.041","13.5","868.5986","1.125013","0.654","0.047","163.1","1341.796","2.249675","-.----","-0.223","89.19","1343.219","2.250219","-.----","-0.301"
"13.51","842.7302","1.12585","0.691","0.041","13.51","869.1311","1.125856","0.654","0.047","163.11","1342.527","2.251369","-.----","-0.223","89.2","1343.87","2.251888","-.----","-0.301"
"13.52","843.3024","1.126688","0.692","0.041","13.52","869.7192","1.1267","0.655","0.047","163.12","1343.29","2.253012","-.----","-0.223","89.21","1344.538","2.253581","-.----","-0.301"
